"","PRED","OBS"
"1",0.128622598502118,-13
"2",-3.06121784435037,-9
"3",-1.46629762292413,-16
"4",0.128622598502118,8
"5",3.31846304135461,-1
"6",-3.06121784435037,-10
"7",-1.46629762292413,-6
"8",1.72354281992836,-1
"9",1.72354281992836,3
"10",3.31846304135461,-5
"11",3.31846304135461,8
"12",1.72354281992836,16
"13",-1.46629762292413,11
"14",-1.46629762292413,12
"15",0.128622598502118,-1
"16",-3.06121784435037,8
"17",0.128622598502118,3
"18",1.72354281992836,-6
"19",0.128622598502118,-1
"20",0.128622598502118,23
"21",-1.46629762292413,24
"22",-1.46629762292413,13
"23",-1.46629762292413,34
"24",1.72354281992836,28
"25",-3.06121784435037,4
"26",1.72354281992836,-6
"27",0.128622598502118,3
"28",3.31846304135461,-4
"29",1.72354281992836,-7
"30",1.72354281992836,-2
"31",-1.46629762292413,-18
"32",-3.06121784435037,-27
"33",-3.06121784435037,-23
"34",-1.46629762292413,-15
"35",-6.25105828720286,-26
"36",3.31846304135461,-2
"37",-3.06121784435037,-10
"38",1.72354281992836,2
"39",3.31846304135461,3
"40",3.31846304135461,2
"41",3.31846304135461,-1
"42",3.31846304135461,5
"43",-4.65613806577662,2
"44",0.128622598502118,-2
"45",-3.06121784435037,0
"46",0.128622598502118,5
"47",-6.25105828720286,3
"48",-1.46629762292413,-14
"49",0.128622598502118,-7
"50",3.31846304135461,-4
"51",3.31846304135461,-10
"52",3.31846304135461,7
"53",0.128622598502118,3
"54",-1.46629762292413,6
"55",-1.46629762292413,-4
"56",0.128622598502118,6
"57",0.128622598502118,-1
"58",3.31846304135461,7
"59",1.72354281992836,6
"60",-1.46629762292413,-1
"61",-1.46629762292413,0
"62",0.128622598502118,-2
